Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
N1 High Memory 2,n1-highmem-2,13 GiB,2,€0.1111 hourly,€0.036 hourly,€0.1896 hourly,€0.1144 hourly
N1 High Memory 32,n1-highmem-32,208 GiB,32,€1.7779 hourly,€0.5752 hourly,€3.0338 hourly,€1.8311 hourly
N1 High Memory 4,n1-highmem-4,26 GiB,4,€0.2222 hourly,€0.0719 hourly,€0.3792 hourly,€0.2289 hourly
N1 High Memory 64,n1-highmem-64,416 GiB,64,€3.5558 hourly,€1.1504 hourly,€6.0676 hourly,€3.6623 hourly
N1 High Memory 8,n1-highmem-8,52 GiB,8,€0.4445 hourly,€0.1438 hourly,€0.7584 hourly,€0.4578 hourly
N1 High Memory 96,n1-highmem-96,624 GiB,96,€5.3336 hourly,€1.7257 hourly,€9.1014 hourly,€5.4934 hourly
N1 Mega Memory 96,n1-megamem-96,1433.599609375 GiB,96,€8.5553 hourly,€2.768 hourly,€12.323 hourly,€6.5357 hourly
N1 Standard 1,n1-standard-1,3.75 GiB,1,€0.0446 hourly,€0.0144 hourly,€0.0839 hourly,€0.0537 hourly
N1 Standard 16,n1-standard-16,60 GiB,16,€0.7138 hourly,€0.231 hourly,€1.3418 hourly,€0.8589 hourly
N1 Standard 2,n1-standard-2,7.5 GiB,2,€0.0892 hourly,€0.0289 hourly,€0.1677 hourly,€0.1074 hourly
N1 Standard 32,n1-standard-32,120 GiB,32,€1.4277 hourly,€0.4619 hourly,€2.6836 hourly,€1.7178 hourly
N1 Standard 4,n1-standard-4,15 GiB,4,€0.1785 hourly,€0.0577 hourly,€0.3355 hourly,€0.2147 hourly
N1 Standard 64,n1-standard-64,240 GiB,64,€2.8554 hourly,€0.9238 hourly,€5.3672 hourly,€3.4357 hourly
N1 Standard 8,n1-standard-8,30 GiB,8,€0.3569 hourly,€0.1155 hourly,€0.6709 hourly,€0.4295 hourly
N1 Standard 96,n1-standard-96,360 GiB,96,€4.2831 hourly,€1.3858 hourly,€8.0508 hourly,€5.1535 hourly
N1 Ultra Memory 160,n1-ultramem-160,3844 GiB,160,€20.0475 hourly,€6.4862 hourly,€26.327 hourly,€12.7658 hourly
N1 Ultra Memory 40,n1-ultramem-40,961 GiB,40,€5.0119 hourly,€1.6216 hourly,€6.5818 hourly,€3.1914 hourly
N1 Ultra Memory 80,n1-ultramem-80,1922 GiB,80,€10.0237 hourly,€3.2431 hourly,€13.1635 hourly,€6.3829 hourly
N2 High CPU 16,n2-highcpu-16,16 GiB,16,€0.491 hourly,€0.0542 hourly,€1.119 hourly,€0.6821 hourly
N2 High CPU 2,n2-highcpu-2,2 GiB,2,€0.0614 hourly,€0.0068 hourly,€0.1399 hourly,€0.0853 hourly
N2 High CPU 32,n2-highcpu-32,32 GiB,32,€0.982 hourly,€0.1084 hourly,€2.2379 hourly,€1.3643 hourly
N2 High CPU 4,n2-highcpu-4,4 GiB,4,€0.1228 hourly,€0.0135 hourly,€0.2797 hourly,€0.1705 hourly
N2 High CPU 48,n2-highcpu-48,48 GiB,48,€1.473 hourly,€0.1625 hourly,€3.3569 hourly,€2.0464 hourly
