Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
G2 Standard 48,g2-standard-48,192 GiB,48,€0.931 hourly,€0.8238 hourly,€2.8149 hourly,€2.7077 hourly
G2 Standard 8,g2-standard-8,32 GiB,8,€0.1552 hourly,€0.1373 hourly,€0.4692 hourly,€0.4513 hourly
G2 Standard 96,g2-standard-96,384 GiB,96,€1.8621 hourly,€1.6476 hourly,€5.6298 hourly,€5.4154 hourly
H3 Standard 88,h3-standard-88,352 GiB,88,€6.7213 hourly,€2.3999 hourly,€10.1751 hourly,€5.8537 hourly
M3 Mega Memory 128,m3-megamem-128,1952 GiB,128,€1.9671 hourly,€3.5354 hourly,€6.9907 hourly,€8.559 hourly
M3 Mega Memory 64,m3-megamem-64,976 GiB,64,€0.9835 hourly,€1.7677 hourly,€3.4954 hourly,€4.2795 hourly
M3 Ultra Memory 128,m3-ultramem-128,3904 GiB,128,€3.3261 hourly,€5.9819 hourly,€8.3497 hourly,€11.0056 hourly
M3 Ultra Memory 32,m3-ultramem-32,976 GiB,32,€0.8315 hourly,€1.4955 hourly,€2.0874 hourly,€2.7514 hourly
M3 Ultra Memory 64,m3-ultramem-64,1952 GiB,64,€1.663 hourly,€2.991 hourly,€4.1749 hourly,€5.5028 hourly
M4 Hypermem 16,m4-hypermem-16,248 GiB,16,€2.4276 hourly,€0.6857 hourly,€3.0556 hourly,€1.3137 hourly
M4 Hypermem 32,m4-hypermem-32,496 GiB,32,€4.8552 hourly,€1.3714 hourly,€6.1112 hourly,€2.6273 hourly
M4 Hypermem 64,m4-hypermem-64,992 GiB,64,€9.7105 hourly,€2.7429 hourly,€12.2223 hourly,€5.2547 hourly
M4 Mega Memory 112,m4-megamem-112,1488 GiB,112,€15.0718 hourly,€4.274 hourly,€19.4675 hourly,€8.6697 hourly
M4 Mega Memory 224,m4-megamem-224,2976 GiB,224,€30.1436 hourly,€8.548 hourly,€38.935 hourly,€17.3394 hourly
M4 Mega Memory 28,m4-megamem-28,372 GiB,28,€3.7679 hourly,€1.0685 hourly,€4.8669 hourly,€2.1674 hourly
M4 Mega Memory 56,m4-megamem-56,744 GiB,56,€7.5359 hourly,€2.137 hourly,€9.7337 hourly,€4.3348 hourly
M4 Ultra Memory 112,m4-ultramem-112,2976 GiB,112,€26.6012 hourly,€7.4301 hourly,€30.9969 hourly,€11.8258 hourly
M4 Ultra Memory 224,m4-ultramem-224,5952 GiB,224,€53.2024 hourly,€14.8603 hourly,€61.9938 hourly,€23.6517 hourly
M4 Ultra Memory 56,m4-ultramem-56,1488 GiB,56,€13.3006 hourly,€3.7151 hourly,€15.4985 hourly,€5.9129 hourly
N1 High CPU 16,n1-highcpu-16,14.400390625 GiB,16,€0.7737 hourly,€0.1411 hourly,€1.4017 hourly,€0.769 hourly
N1 High CPU 2,n1-highcpu-2,1.7998046875 GiB,2,€0.0967 hourly,€0.0176 hourly,€0.1752 hourly,€0.0961 hourly
N1 High CPU 32,n1-highcpu-32,28.7998046875 GiB,32,€1.5475 hourly,€0.2822 hourly,€2.8034 hourly,€1.5381 hourly
N1 High CPU 4,n1-highcpu-4,3.599609375 GiB,4,€0.1934 hourly,€0.0353 hourly,€0.3504 hourly,€0.1923 hourly
N1 High CPU 64,n1-highcpu-64,57.599609375 GiB,64,€3.0949 hourly,€0.5643 hourly,€5.6068 hourly,€3.0761 hourly
N1 High CPU 8,n1-highcpu-8,7.2001953125 GiB,8,€0.3869 hourly,€0.0705 hourly,€0.7008 hourly,€0.3845 hourly
N1 High CPU 96,n1-highcpu-96,86.400390625 GiB,96,€4.6424 hourly,€0.8465 hourly,€8.4102 hourly,€4.6142 hourly
N1 High Memory 16,n1-highmem-16,104 GiB,16,€1.292 hourly,€0.2502 hourly,€1.9199 hourly,€0.8781 hourly
N1 High Memory 2,n1-highmem-2,13 GiB,2,€0.1615 hourly,€0.0313 hourly,€0.24 hourly,€0.1098 hourly
N1 High Memory 32,n1-highmem-32,208 GiB,32,€2.584 hourly,€0.5004 hourly,€3.8399 hourly,€1.7563 hourly
N1 High Memory 4,n1-highmem-4,26 GiB,4,€0.323 hourly,€0.0625 hourly,€0.48 hourly,€0.2195 hourly
N1 High Memory 64,n1-highmem-64,416 GiB,64,€5.1679 hourly,€1.0007 hourly,€7.6798 hourly,€3.5126 hourly
N1 High Memory 8,n1-highmem-8,52 GiB,8,€0.646 hourly,€0.1251 hourly,€0.96 hourly,€0.4391 hourly
N1 High Memory 96,n1-highmem-96,624 GiB,96,€7.7519 hourly,€1.5011 hourly,€11.5196 hourly,€5.2688 hourly
N1 Mega Memory 96,n1-megamem-96,1433.599609375 GiB,96,€12.4347 hourly,€2.4869 hourly,€16.2024 hourly,€6.2547 hourly
N1 Standard 1,n1-standard-1,3.75 GiB,1,€0.0648 hourly,€0.0123 hourly,€0.1041 hourly,€0.0515 hourly
N1 Standard 16,n1-standard-16,60 GiB,16,€1.0375 hourly,€0.1966 hourly,€1.6654 hourly,€0.8246 hourly
N1 Standard 2,n1-standard-2,7.5 GiB,2,€0.1297 hourly,€0.0246 hourly,€0.2082 hourly,€0.1031 hourly
N1 Standard 32,n1-standard-32,120 GiB,32,€2.075 hourly,€0.3932 hourly,€3.3309 hourly,€1.6491 hourly
N1 Standard 4,n1-standard-4,15 GiB,4,€0.2594 hourly,€0.0492 hourly,€0.4164 hourly,€0.2061 hourly
N1 Standard 64,n1-standard-64,240 GiB,64,€4.15 hourly,€0.7864 hourly,€6.6618 hourly,€3.2982 hourly
N1 Standard 8,n1-standard-8,30 GiB,8,€0.5187 hourly,€0.0983 hourly,€0.8327 hourly,€0.4123 hourly
N1 Standard 96,n1-standard-96,360 GiB,96,€6.2249 hourly,€1.1796 hourly,€9.9927 hourly,€4.9474 hourly
N1 Ultra Memory 160,n1-ultramem-160,3844 GiB,160,€29.1382 hourly,€5.9162 hourly,€35.4178 hourly,€12.1958 hourly
N1 Ultra Memory 40,n1-ultramem-40,961 GiB,40,€7.2846 hourly,€1.4791 hourly,€8.8545 hourly,€3.0489 hourly
