Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
E2 Standard 2,e2-standard-2,8 GiB,2,€0.0663 hourly,€0.0265 hourly,€0.1448 hourly,€0.105 hourly
E2 Standard 32,e2-standard-32,128 GiB,32,€1.0611 hourly,€0.4238 hourly,€2.317 hourly,€1.6798 hourly
E2 Standard 4,e2-standard-4,16 GiB,4,€0.1326 hourly,€0.053 hourly,€0.2896 hourly,€0.21 hourly
E2 Standard 8,e2-standard-8,32 GiB,8,€0.2653 hourly,€0.106 hourly,€0.5793 hourly,€0.4199 hourly
G2 Standard 12,g2-standard-12,48 GiB,12,€0.4358 hourly,€0.1174 hourly,€0.9068 hourly,€0.5884 hourly
G2 Standard 16,g2-standard-16,64 GiB,16,€0.5811 hourly,€0.1565 hourly,€1.2091 hourly,€0.7845 hourly
G2 Standard 24,g2-standard-24,96 GiB,24,€0.8717 hourly,€0.2348 hourly,€1.8136 hourly,€1.1767 hourly
G2 Standard 32,g2-standard-32,128 GiB,32,€1.1623 hourly,€0.313 hourly,€2.4182 hourly,€1.5689 hourly
G2 Standard 4,g2-standard-4,16 GiB,4,€0.1453 hourly,€0.0391 hourly,€0.3023 hourly,€0.1961 hourly
G2 Standard 48,g2-standard-48,192 GiB,48,€1.7434 hourly,€0.4695 hourly,€3.6273 hourly,€2.3534 hourly
G2 Standard 8,g2-standard-8,32 GiB,8,€0.2906 hourly,€0.0783 hourly,€0.6045 hourly,€0.3922 hourly
G2 Standard 96,g2-standard-96,384 GiB,96,€3.4868 hourly,€0.9391 hourly,€7.2545 hourly,€4.7068 hourly
H3 Standard 88,h3-standard-88,352 GiB,88,€1.4154 hourly,€1.7399 hourly,€4.8691 hourly,€5.1937 hourly
M3 Mega Memory 128,m3-megamem-128,1952 GiB,128,€14.2614 hourly,€2.5633 hourly,€19.285 hourly,€7.5869 hourly
M3 Mega Memory 64,m3-megamem-64,976 GiB,64,€7.1307 hourly,€1.2816 hourly,€9.6425 hourly,€3.7935 hourly
M3 Ultra Memory 128,m3-ultramem-128,3904 GiB,128,€24.1142 hourly,€4.337 hourly,€29.1378 hourly,€9.3606 hourly
M3 Ultra Memory 32,m3-ultramem-32,976 GiB,32,€6.0285 hourly,€1.0842 hourly,€7.2845 hourly,€2.3402 hourly
M3 Ultra Memory 64,m3-ultramem-64,1952 GiB,64,€12.0571 hourly,€2.1685 hourly,€14.5689 hourly,€4.6803 hourly
M4 Hypermem 16,m4-hypermem-16,248 GiB,16,€1.6173 hourly,€0.6215 hourly,€2.2452 hourly,€1.2494 hourly
M4 Hypermem 32,m4-hypermem-32,496 GiB,32,€3.2345 hourly,€1.243 hourly,€4.4904 hourly,€2.4989 hourly
M4 Hypermem 64,m4-hypermem-64,992 GiB,64,€6.469 hourly,€2.4859 hourly,€8.9809 hourly,€4.9978 hourly
M4 Mega Memory 112,m4-megamem-112,1488 GiB,112,€10.102 hourly,€3.8358 hourly,€14.4977 hourly,€8.2315 hourly
M4 Mega Memory 224,m4-megamem-224,2976 GiB,224,€20.2041 hourly,€7.6716 hourly,€28.9955 hourly,€16.463 hourly
M4 Mega Memory 28,m4-megamem-28,372 GiB,28,€2.5255 hourly,€0.959 hourly,€3.6244 hourly,€2.0579 hourly
M4 Mega Memory 56,m4-megamem-56,744 GiB,56,€5.051 hourly,€1.9179 hourly,€7.2489 hourly,€4.1157 hourly
M4 Ultra Memory 112,m4-ultramem-112,2976 GiB,112,€17.4147 hourly,€6.9234 hourly,€21.8104 hourly,€11.3191 hourly
M4 Ultra Memory 224,m4-ultramem-224,5952 GiB,224,€34.8295 hourly,€13.8468 hourly,€43.6208 hourly,€22.6382 hourly
M4 Ultra Memory 56,m4-ultramem-56,1488 GiB,56,€8.7074 hourly,€3.4617 hourly,€10.9052 hourly,€5.6595 hourly
N1 High CPU 16,n1-highcpu-16,14.400390625 GiB,16,€0.561 hourly,€0.1004 hourly,€1.1889 hourly,€0.7283 hourly
N1 High CPU 2,n1-highcpu-2,1.7998046875 GiB,2,€0.0701 hourly,€0.0125 hourly,€0.1486 hourly,€0.091 hourly
N1 High CPU 32,n1-highcpu-32,28.7998046875 GiB,32,€1.1219 hourly,€0.2007 hourly,€2.3778 hourly,€1.4566 hourly
N1 High CPU 4,n1-highcpu-4,3.599609375 GiB,4,€0.1402 hourly,€0.0251 hourly,€0.2972 hourly,€0.1821 hourly
N1 High CPU 64,n1-highcpu-64,57.599609375 GiB,64,€2.2438 hourly,€0.4015 hourly,€4.7557 hourly,€2.9133 hourly
N1 High CPU 8,n1-highcpu-8,7.2001953125 GiB,8,€0.2805 hourly,€0.0502 hourly,€0.5945 hourly,€0.3642 hourly
N1 High CPU 96,n1-highcpu-96,86.400390625 GiB,96,€3.3658 hourly,€0.6022 hourly,€7.1335 hourly,€4.3699 hourly
N1 High Memory 16,n1-highmem-16,104 GiB,16,€0.9367 hourly,€0.1676 hourly,€1.5646 hourly,€0.7956 hourly
N1 High Memory 2,n1-highmem-2,13 GiB,2,€0.1171 hourly,€0.021 hourly,€0.1956 hourly,€0.0994 hourly
N1 High Memory 32,n1-highmem-32,208 GiB,32,€1.8734 hourly,€0.3353 hourly,€3.1293 hourly,€1.5912 hourly
N1 High Memory 4,n1-highmem-4,26 GiB,4,€0.2342 hourly,€0.0419 hourly,€0.3912 hourly,€0.1989 hourly
N1 High Memory 64,n1-highmem-64,416 GiB,64,€3.7468 hourly,€0.6705 hourly,€6.2586 hourly,€3.1824 hourly
N1 High Memory 8,n1-highmem-8,52 GiB,8,€0.4683 hourly,€0.0838 hourly,€0.7823 hourly,€0.3978 hourly
N1 High Memory 96,n1-highmem-96,624 GiB,96,€5.6201 hourly,€1.0058 hourly,€9.3879 hourly,€4.7736 hourly
N1 Mega Memory 96,n1-megamem-96,1433.599609375 GiB,96,€9.0151 hourly,€1.6137 hourly,€12.7829 hourly,€5.3814 hourly
N1 Standard 1,n1-standard-1,3.75 GiB,1,€0.047 hourly,€0.0084 hourly,€0.0863 hourly,€0.0477 hourly
N1 Standard 16,n1-standard-16,60 GiB,16,€0.7522 hourly,€0.1346 hourly,€1.3801 hourly,€0.7626 hourly
N1 Standard 2,n1-standard-2,7.5 GiB,2,€0.094 hourly,€0.0168 hourly,€0.1725 hourly,€0.0953 hourly
N1 Standard 32,n1-standard-32,120 GiB,32,€1.5044 hourly,€0.2692 hourly,€2.7603 hourly,€1.5251 hourly
N1 Standard 4,n1-standard-4,15 GiB,4,€0.188 hourly,€0.0337 hourly,€0.345 hourly,€0.1906 hourly
N1 Standard 64,n1-standard-64,240 GiB,64,€3.0087 hourly,€0.5384 hourly,€5.5205 hourly,€3.0502 hourly
N1 Standard 8,n1-standard-8,30 GiB,8,€0.3761 hourly,€0.0673 hourly,€0.6901 hourly,€0.3813 hourly
N1 Standard 96,n1-standard-96,360 GiB,96,€4.5131 hourly,€0.8076 hourly,€8.2808 hourly,€4.5753 hourly
N1 Ultra Memory 160,n1-ultramem-160,3844 GiB,160,€21.1252 hourly,€3.7817 hourly,€27.4048 hourly,€10.0612 hourly
N1 Ultra Memory 40,n1-ultramem-40,961 GiB,40,€5.2813 hourly,€0.9454 hourly,€6.8512 hourly,€2.5153 hourly
N1 Ultra Memory 80,n1-ultramem-80,1922 GiB,80,€10.5626 hourly,€1.8908 hourly,€13.7024 hourly,€5.0306 hourly
N2 High CPU 16,n2-highcpu-16,16 GiB,16,€0.5677 hourly,€0.1602 hourly,€1.1956 hourly,€0.7882 hourly
N2 High CPU 2,n2-highcpu-2,2 GiB,2,€0.071 hourly,€0.02 hourly,€0.1495 hourly,€0.0985 hourly
N2 High CPU 32,n2-highcpu-32,32 GiB,32,€1.1353 hourly,€0.3204 hourly,€2.3912 hourly,€1.5763 hourly
N2 High CPU 4,n2-highcpu-4,4 GiB,4,€0.1419 hourly,€0.04 hourly,€0.2989 hourly,€0.197 hourly
N2 High CPU 48,n2-highcpu-48,48 GiB,48,€1.703 hourly,€0.4806 hourly,€3.5869 hourly,€2.3645 hourly
N2 High CPU 64,n2-highcpu-64,64 GiB,64,€2.2707 hourly,€0.6408 hourly,€4.7825 hourly,€3.1526 hourly
N2 High CPU 8,n2-highcpu-8,8 GiB,8,€0.2838 hourly,€0.0801 hourly,€0.5978 hourly,€0.3941 hourly
N2 High CPU 80,n2-highcpu-80,80 GiB,80,€2.8383 hourly,€0.801 hourly,€5.9781 hourly,€3.9408 hourly
N2 High CPU 96,n2-highcpu-96,96 GiB,96,€3.406 hourly,€0.9612 hourly,€7.1737 hourly,€4.7289 hourly
N2 High Memory 128,n2-highmem-128,864 GiB,128,€7.6277 hourly,€2.1513 hourly,€12.6514 hourly,€7.1749 hourly
N2 High Memory 16,n2-highmem-16,128 GiB,16,€1.0373 hourly,€0.2925 hourly,€1.6653 hourly,€0.9205 hourly
N2 High Memory 2,n2-highmem-2,16 GiB,2,€0.1297 hourly,€0.0366 hourly,€0.2082 hourly,€0.1151 hourly
N2 High Memory 32,n2-highmem-32,256 GiB,32,€2.0747 hourly,€0.5851 hourly,€3.3306 hourly,€1.841 hourly
N2 High Memory 4,n2-highmem-4,32 GiB,4,€0.2593 hourly,€0.0731 hourly,€0.4163 hourly,€0.2301 hourly
N2 High Memory 48,n2-highmem-48,384 GiB,48,€3.112 hourly,€0.8776 hourly,€4.9959 hourly,€2.7615 hourly
N2 High Memory 64,n2-highmem-64,512 GiB,64,€4.1493 hourly,€1.1702 hourly,€6.6611 hourly,€3.682 hourly
N2 High Memory 8,n2-highmem-8,64 GiB,8,€0.5187 hourly,€0.1463 hourly,€0.8326 hourly,€0.4603 hourly
N2 High Memory 80,n2-highmem-80,640 GiB,80,€5.1867 hourly,€1.4627 hourly,€8.3264 hourly,€4.6025 hourly
N2 High Memory 96,n2-highmem-96,768 GiB,96,€6.224 hourly,€1.7553 hourly,€9.9917 hourly,€5.523 hourly
N2 Standard 128,n2-standard-128,512 GiB,128,€6.1516 hourly,€1.7353 hourly,€11.1753 hourly,€6.759 hourly
N2 Standard 16,n2-standard-16,64 GiB,16,€0.769 hourly,€0.2169 hourly,€1.3969 hourly,€0.8449 hourly
N2 Standard 2,n2-standard-2,8 GiB,2,€0.0961 hourly,€0.0271 hourly,€0.1746 hourly,€0.1056 hourly
N2 Standard 32,n2-standard-32,128 GiB,32,€1.5379 hourly,€0.4338 hourly,€2.7938 hourly,€1.6897 hourly
N2 Standard 4,n2-standard-4,16 GiB,4,€0.1922 hourly,€0.0542 hourly,€0.3492 hourly,€0.2112 hourly
N2 Standard 48,n2-standard-48,192 GiB,48,€2.3069 hourly,€0.6508 hourly,€4.1907 hourly,€2.5346 hourly
N2 Standard 64,n2-standard-64,256 GiB,64,€3.0758 hourly,€0.8677 hourly,€5.5876 hourly,€3.3795 hourly
