Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
N2 High CPU 64,n2-highcpu-64,64 GiB,64,€0.5461 hourly,€0.2118 hourly,€3.0579 hourly,€2.7236 hourly
N2 High CPU 8,n2-highcpu-8,8 GiB,8,€0.0683 hourly,€0.0265 hourly,€0.3822 hourly,€0.3404 hourly
N2 High CPU 80,n2-highcpu-80,80 GiB,80,€0.6826 hourly,€0.2647 hourly,€3.8224 hourly,€3.4045 hourly
N2 High CPU 96,n2-highcpu-96,96 GiB,96,€0.8192 hourly,€0.3176 hourly,€4.5869 hourly,€4.0854 hourly
N2 High Memory 128,n2-highmem-128,864 GiB,128,€1.4117 hourly,€0.7111 hourly,€6.4354 hourly,€5.7348 hourly
N2 High Memory 16,n2-highmem-16,128 GiB,16,€0.1852 hourly,€0.0967 hourly,€0.8131 hourly,€0.7247 hourly
N2 High Memory 2,n2-highmem-2,16 GiB,2,€0.0231 hourly,€0.0121 hourly,€0.1016 hourly,€0.0906 hourly
N2 High Memory 32,n2-highmem-32,256 GiB,32,€0.3703 hourly,€0.1934 hourly,€1.6262 hourly,€1.4493 hourly
N2 High Memory 4,n2-highmem-4,32 GiB,4,€0.0463 hourly,€0.0242 hourly,€0.2033 hourly,€0.1812 hourly
N2 High Memory 48,n2-highmem-48,384 GiB,48,€0.5555 hourly,€0.2901 hourly,€2.4393 hourly,€2.174 hourly
N2 High Memory 64,n2-highmem-64,512 GiB,64,€0.7406 hourly,€0.3868 hourly,€3.2524 hourly,€2.8986 hourly
N2 High Memory 8,n2-highmem-8,64 GiB,8,€0.0926 hourly,€0.0484 hourly,€0.4066 hourly,€0.3623 hourly
N2 High Memory 80,n2-highmem-80,640 GiB,80,€0.9258 hourly,€0.4835 hourly,€4.0655 hourly,€3.6233 hourly
N2 High Memory 96,n2-highmem-96,768 GiB,96,€1.1109 hourly,€0.5802 hourly,€4.8786 hourly,€4.348 hourly
N2 Standard 128,n2-standard-128,512 GiB,128,€1.2589 hourly,€0.5736 hourly,€6.2826 hourly,€5.5972 hourly
N2 Standard 16,n2-standard-16,64 GiB,16,€0.1574 hourly,€0.0717 hourly,€0.7853 hourly,€0.6997 hourly
N2 Standard 2,n2-standard-2,8 GiB,2,€0.0197 hourly,€0.009 hourly,€0.0982 hourly,€0.0875 hourly
N2 Standard 32,n2-standard-32,128 GiB,32,€0.3147 hourly,€0.1434 hourly,€1.5706 hourly,€1.3993 hourly
N2 Standard 4,n2-standard-4,16 GiB,4,€0.0393 hourly,€0.0179 hourly,€0.1963 hourly,€0.1749 hourly
N2 Standard 48,n2-standard-48,192 GiB,48,€0.4721 hourly,€0.2151 hourly,€2.356 hourly,€2.099 hourly
N2 Standard 64,n2-standard-64,256 GiB,64,€0.6295 hourly,€0.2868 hourly,€3.1413 hourly,€2.7986 hourly
