Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
M4 Hypermem 64,m4-hypermem-64,992 GiB,64,€2.1474 hourly,€2.8601 hourly,€4.6593 hourly,€5.372 hourly
M4 Mega Memory 112,m4-megamem-112,1488 GiB,112,€3.6323 hourly,€4.4132 hourly,€8.028 hourly,€8.8089 hourly
M4 Mega Memory 224,m4-megamem-224,2976 GiB,224,€7.2647 hourly,€8.8264 hourly,€16.0561 hourly,€17.6178 hourly
M4 Mega Memory 28,m4-megamem-28,372 GiB,28,€0.9081 hourly,€1.1033 hourly,€2.007 hourly,€2.2022 hourly
M4 Mega Memory 56,m4-megamem-56,744 GiB,56,€1.8162 hourly,€2.2066 hourly,€4.014 hourly,€4.4045 hourly
M4 Ultra Memory 112,m4-ultramem-112,2976 GiB,112,€4.3865 hourly,€7.9655 hourly,€8.7822 hourly,€12.3612 hourly
M4 Ultra Memory 224,m4-ultramem-224,5952 GiB,224,€8.7729 hourly,€15.9309 hourly,€17.5643 hourly,€24.7223 hourly
M4 Ultra Memory 56,m4-ultramem-56,1488 GiB,56,€2.1932 hourly,€3.9827 hourly,€4.3911 hourly,€6.1806 hourly
N1 High CPU 16,n1-highcpu-16,14.400390625 GiB,16,€0.6211 hourly,€0.1697 hourly,€1.249 hourly,€0.7977 hourly
N1 High CPU 2,n1-highcpu-2,1.7998046875 GiB,2,€0.0776 hourly,€0.0212 hourly,€0.1561 hourly,€0.0997 hourly
N1 High CPU 32,n1-highcpu-32,28.7998046875 GiB,32,€1.2421 hourly,€0.3394 hourly,€2.498 hourly,€1.5954 hourly
N1 High CPU 4,n1-highcpu-4,3.599609375 GiB,4,€0.1553 hourly,€0.0424 hourly,€0.3123 hourly,€0.1994 hourly
N1 High CPU 64,n1-highcpu-64,57.599609375 GiB,64,€2.4843 hourly,€0.6789 hourly,€4.9961 hourly,€3.1907 hourly
N1 High CPU 8,n1-highcpu-8,7.2001953125 GiB,8,€0.3105 hourly,€0.0849 hourly,€0.6245 hourly,€0.3988 hourly
N1 High CPU 96,n1-highcpu-96,86.400390625 GiB,96,€3.7264 hourly,€1.0183 hourly,€7.4941 hourly,€4.7861 hourly
N1 High Memory 16,n1-highmem-16,104 GiB,16,€1.0353 hourly,€0.2829 hourly,€1.6633 hourly,€0.9109 hourly
N1 High Memory 2,n1-highmem-2,13 GiB,2,€0.1294 hourly,€0.0354 hourly,€0.2079 hourly,€0.1139 hourly
N1 High Memory 32,n1-highmem-32,208 GiB,32,€2.0707 hourly,€0.5659 hourly,€3.3266 hourly,€1.8218 hourly
N1 High Memory 4,n1-highmem-4,26 GiB,4,€0.2588 hourly,€0.0707 hourly,€0.4158 hourly,€0.2277 hourly
N1 High Memory 64,n1-highmem-64,416 GiB,64,€4.1413 hourly,€1.1318 hourly,€6.6531 hourly,€3.6436 hourly
N1 High Memory 8,n1-highmem-8,52 GiB,8,€0.5177 hourly,€0.1415 hourly,€0.8316 hourly,€0.4554 hourly
N1 High Memory 96,n1-highmem-96,624 GiB,96,€6.212 hourly,€1.6977 hourly,€9.9797 hourly,€5.4654 hourly
N1 Mega Memory 96,n1-megamem-96,1433.599609375 GiB,96,€9.9552 hourly,€2.7207 hourly,€13.7229 hourly,€6.4884 hourly
N1 Standard 1,n1-standard-1,3.75 GiB,1,€0.052 hourly,€0.0142 hourly,€0.0912 hourly,€0.0535 hourly
N1 Standard 16,n1-standard-16,60 GiB,16,€0.8319 hourly,€0.2273 hourly,€1.4599 hourly,€0.8553 hourly
N1 Standard 2,n1-standard-2,7.5 GiB,2,€0.104 hourly,€0.0284 hourly,€0.1825 hourly,€0.1069 hourly
N1 Standard 32,n1-standard-32,120 GiB,32,€1.6638 hourly,€0.4547 hourly,€2.9197 hourly,€1.7106 hourly
N1 Standard 4,n1-standard-4,15 GiB,4,€0.208 hourly,€0.0568 hourly,€0.365 hourly,€0.2138 hourly
N1 Standard 64,n1-standard-64,240 GiB,64,€3.3276 hourly,€0.9094 hourly,€5.8394 hourly,€3.4212 hourly
N1 Standard 8,n1-standard-8,30 GiB,8,€0.4159 hourly,€0.1137 hourly,€0.7299 hourly,€0.4277 hourly
N1 Standard 96,n1-standard-96,360 GiB,96,€4.9914 hourly,€1.3641 hourly,€8.7591 hourly,€5.1318 hourly
N1 Ultra Memory 160,n1-ultramem-160,3844 GiB,160,€23.3176 hourly,€6.3725 hourly,€29.5971 hourly,€12.6521 hourly
N1 Ultra Memory 40,n1-ultramem-40,961 GiB,40,€5.8294 hourly,€1.5931 hourly,€7.3993 hourly,€3.163 hourly
N1 Ultra Memory 80,n1-ultramem-80,1922 GiB,80,€11.6588 hourly,€3.1863 hourly,€14.7986 hourly,€6.326 hourly
N2 High CPU 16,n2-highcpu-16,16 GiB,16,€0.6285 hourly,€0.1496 hourly,€1.2564 hourly,€0.7776 hourly
N2 High CPU 2,n2-highcpu-2,2 GiB,2,€0.0786 hourly,€0.0187 hourly,€0.1571 hourly,€0.0972 hourly
N2 High CPU 32,n2-highcpu-32,32 GiB,32,€1.2569 hourly,€0.2992 hourly,€2.5128 hourly,€1.5551 hourly
N2 High CPU 4,n2-highcpu-4,4 GiB,4,€0.1571 hourly,€0.0374 hourly,€0.3141 hourly,€0.1944 hourly
N2 High CPU 48,n2-highcpu-48,48 GiB,48,€1.8854 hourly,€0.4489 hourly,€3.7693 hourly,€2.3327 hourly
N2 High CPU 64,n2-highcpu-64,64 GiB,64,€2.5138 hourly,€0.5985 hourly,€5.0257 hourly,€3.1103 hourly
N2 High CPU 8,n2-highcpu-8,8 GiB,8,€0.3142 hourly,€0.0748 hourly,€0.6282 hourly,€0.3888 hourly
N2 High CPU 80,n2-highcpu-80,80 GiB,80,€3.1423 hourly,€0.7481 hourly,€6.2821 hourly,€3.8879 hourly
N2 High CPU 96,n2-highcpu-96,96 GiB,96,€3.7708 hourly,€0.8977 hourly,€7.5385 hourly,€4.6654 hourly
N2 High Memory 128,n2-highmem-128,864 GiB,128,€8.4306 hourly,€2.007 hourly,€13.4542 hourly,€7.0307 hourly
N2 High Memory 16,n2-highmem-16,128 GiB,16,€1.1463 hourly,€0.2729 hourly,€1.7742 hourly,€0.9008 hourly
N2 High Memory 2,n2-highmem-2,16 GiB,2,€0.1433 hourly,€0.0341 hourly,€0.2218 hourly,€0.1126 hourly
N2 High Memory 32,n2-highmem-32,256 GiB,32,€2.2926 hourly,€0.5458 hourly,€3.5485 hourly,€1.8017 hourly
N2 High Memory 4,n2-highmem-4,32 GiB,4,€0.2866 hourly,€0.0682 hourly,€0.4436 hourly,€0.2252 hourly
N2 High Memory 48,n2-highmem-48,384 GiB,48,€3.4389 hourly,€0.8187 hourly,€5.3227 hourly,€2.7025 hourly
N2 High Memory 64,n2-highmem-64,512 GiB,64,€4.5852 hourly,€1.0916 hourly,€7.097 hourly,€3.6034 hourly
N2 High Memory 8,n2-highmem-8,64 GiB,8,€0.5731 hourly,€0.1364 hourly,€0.8871 hourly,€0.4504 hourly
N2 High Memory 80,n2-highmem-80,640 GiB,80,€5.7315 hourly,€1.3644 hourly,€8.8712 hourly,€4.5042 hourly
N2 High Memory 96,n2-highmem-96,768 GiB,96,€6.8778 hourly,€1.6373 hourly,€10.6455 hourly,€5.4051 hourly
N2 Standard 128,n2-standard-128,512 GiB,128,€6.8031 hourly,€1.6196 hourly,€11.8268 hourly,€6.6432 hourly
N2 Standard 16,n2-standard-16,64 GiB,16,€0.8504 hourly,€0.2024 hourly,€1.4783 hourly,€0.8304 hourly
N2 Standard 2,n2-standard-2,8 GiB,2,€0.1063 hourly,€0.0253 hourly,€0.1848 hourly,€0.1038 hourly
N2 Standard 32,n2-standard-32,128 GiB,32,€1.7008 hourly,€0.4049 hourly,€2.9567 hourly,€1.6608 hourly
N2 Standard 4,n2-standard-4,16 GiB,4,€0.2126 hourly,€0.0506 hourly,€0.3696 hourly,€0.2076 hourly
N2 Standard 48,n2-standard-48,192 GiB,48,€2.5512 hourly,€0.6073 hourly,€4.435 hourly,€2.4912 hourly
