model.manufacturer,model.name,model.type,model.year,configuration.cpu.units,configuration.cpu.core_units,configuration.cpu.manufacturer,configuration.cpu.family,configuration.cpu.manufacture_date,configuration.cpu.process,configuration.cpu.die_size_per_core,configuration.ram.units,configuration.ram.capacity,configuration.ram.manufacturer,configuration.ram.process,configuration.ram.density,configuration.disk.units,configuration.disk.type,configuration.disk.capacity,configuration.disk.density,configuration.power_supply.units,configuration.power_supply.unit_weight,usage.instance_per_server,usage.instance_per_server,usage.max_power,usage.max_power,usage.workload.idle.power,usage.workload.idle.time,usage.workload.10.power,usage.workload.10.time,usage.workload.50.power,usage.workload.50.time,usage.workload.100.power,usage.workload.100.time
AWS,m5d.large,rack,2018,2,24,Intel,Skylake,2018,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.02083333333,48.00,20.0,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5d.xlarge,rack,2018,2,24,Intel,Skylake,2018,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.04166666667,24.00,39.9,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5d.2xlarge,rack,2018,2,24,Intel,Skylake,2018,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.08333333333,12.00,79.8,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5d.4xlarge,rack,2018,2,24,Intel,Skylake,2018,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.1666666667,6.00,159.6,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5d.8xlarge,rack,2019,2,24,Intel,Skylake,2019,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.3333333333,3.00,319.3,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5d.12xlarge,rack,2018,2,24,Intel,Skylake,2018,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.5,2.00,478.9,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5d.16xlarge,rack,2019,2,24,Intel,Skylake,2019,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.6666666667,1.50,638.5,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5d.24xlarge,rack,2018,2,24,Intel,Skylake,2018,14,,12,32,Samsung,20,,4,SSD,900,,2,,1,1.00,957.8,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5d.metal,rack,2019,2,24,Intel,Skylake,2019,14,,12,32,Samsung,20,,4,SSD,900,,2,,1,1.00,957.8,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5dn.large,rack,2019,2,24,Intel,Cascade Lake,2019,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.02083333333,48.00,16.3,784.33,0.25,0.00,0.41,0.00,0.72,1,1,0.00
