,id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source,gwp_manufacturing_impact_total,energy_1h_load0,gwp_use_1h_load0_FRA,gwp_use_1h_load0_GBR,gwp_use_1h_load0_USA,energy_1h_load50,gwp_use_1h_load50_FRA,gwp_use_1h_load50_GBR,gwp_use_1h_load50_USA,energy_1h_load100,gwp_use_1h_load100_FRA,gwp_use_1h_load100_GBR,gwp_use_1h_load100_USA
274,i3en.12xlarge,48,384.0,30000,0,0,i3en.metal,,0.06,183.11041,0.0179,0.045,0.068,383.85928,0.038,0.094,0.142,470.90778,0.046,0.116,0.174
275,i3en.24xlarge,96,768.0,60000,0,0,i3en.metal,,0.12,366.22082,0.036,0.09,0.136,767.71856,0.075,0.189,0.284,941.81556,0.092,0.232,0.35
276,i3en.metal,96,768.0,60000,0,0,i3en.metal,,0.12,366.22082,0.036,0.09,0.136,767.71856,0.075,0.189,0.284,941.81556,0.092,0.232,0.35
277,i4g.large,2,16.0,468,0,0,i4g.16xlarge,,0.0018,6.78699,0.00067,0.00167,0.00251,10.708079374999999,0.00105,0.00263,0.004,12.407985625,0.00122,0.00305,0.0046
278,i4g.xlarge,4,32.0,937,0,0,i4g.16xlarge,,0.0036,13.57398,0.00133,0.0033,0.005,21.416158749999997,0.0021,0.0053,0.0079,24.81597125,0.00243,0.0061,0.0092
279,i4g.2xlarge,8,64.0,1875,0,0,i4g.16xlarge,,0.007,27.14796,0.00266,0.0067,0.01,42.832317499999995,0.0042,0.0105,0.0158,49.6319425,0.0049,0.0122,0.0184
280,i4g.4xlarge,16,128.0,3750,0,0,i4g.16xlarge,,0.014,54.29592,0.0053,0.0134,0.0201,85.66463499999999,0.0084,0.0211,0.0317,99.263885,0.0097,0.0244,0.037
281,i4g.8xlarge,32,256.0,7500,0,0,i4g.16xlarge,,0.029,108.59184,0.0106,0.0267,0.04,171.32926999999998,0.0168,0.042,0.063,198.52777,0.0195,0.049,0.073
282,i4g.16xlarge,64,512.0,15000,0,0,i4g.16xlarge,,0.057,217.18368,0.0213,0.053,0.08,342.65853999999996,0.034,0.084,0.127,397.05554,0.039,0.098,0.147
283,i4i.large,2,16.0,468,0,0,i4i.metal,,0.0016,7.530460000000001,0.00074,0.00185,0.00279,15.372223124999998,0.00151,0.0038,0.0057,18.772866875000002,0.00184,0.0046,0.0069
