name,release_date,manufacturer,code_name,model_range,frequency,tdp,cores,total_die_size,total_die_size_source,source,process_size,die_size,io_die_size,io_process_size,transistors,foundry
AMD EPYC 7643,"Mar 15th, 2021",AMD,Milan,EPYC,2.3 GHz,225.0,48.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7643.c2377,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7662,,AMD,Rome,EPYC,,,,1600.0,Max value of cpu_specs https://www.techpowerup.com/cpu-specs/epyc-7702.c2246,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
AMD EPYC 7663,"Mar 15th, 2021",AMD,Milan,EPYC,2000 MHz,240.0,56.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7663.c2376,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7702,"Aug 7th, 2019",AMD,Rome,EPYC,2000 MHz,200.0,64.0,1600.0,io_die_size (416 mm2) + die_size (16x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7702.c2246,7.0,16x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7702P,"Aug 7th, 2019",AMD,Rome,EPYC,2000 MHz,200.0,64.0,1600.0,io_die_size (416 mm2) + die_size (16x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7702p.c2259,7.0,16x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7713,"Mar 15th, 2021",AMD,Milan,EPYC,2000 MHz,225.0,64.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7713.c2374,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7713P,"Mar 15th, 2021",AMD,Milan,EPYC,2000 MHz,225.0,64.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7713p.c2375,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7742,"Aug 7th, 2019",AMD,Rome,EPYC,2.25 GHz,225.0,64.0,1600.0,io_die_size (416 mm2) + die_size (16x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7742.c2245,7.0,16x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7763,"Mar 15th, 2021",AMD,Milan,EPYC,2.45 GHz,280.0,64.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7763.c2373,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7773X,"Mar 22nd, 2022",AMD,Milan-X,EPYC,2.2 GHz,280.0,64.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7773x.c2759,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7F32,"Apr 14th, 2020",AMD,Rome,EPYC,3.7 GHz,180.0,8.0,564.0,io_die_size (416 mm2) + die_size (2x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7f32.c2300,7.0,2x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7F52,"Apr 14th, 2020",AMD,Rome,EPYC,3.5 GHz,155.0,16.0,712.0,io_die_size (416 mm2) + die_size (4x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7f52.c2301,7.0,4x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7F72,"Apr 14th, 2020",AMD,Rome,EPYC,3.2 GHz,240.0,24.0,860.0,io_die_size (416 mm2) + die_size (6x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7f72.c2302,7.0,6x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7H12,"Sep 18th, 2019",AMD,Rome,EPYC,2.6 GHz,280.0,64.0,1600.0,io_die_size (416 mm2) + die_size (16x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7h12.c2244,7.0,16x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7R32,,AMD,Rome,EPYC,,280.0,48.0,1304.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/epyc-7552.c2248,https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652,,,,,,
AMD EPYC 9124,"Nov 10th, 2022",AMD,Genoa,EPYC,3 GHz,200.0,16.0,685.0,io_die_size (397 mm²) + die_size (4x 72 mm²),https://www.techpowerup.com/cpu-specs/epyc-9124.c2917,5.0,4x 72 mm²,397 mm²,6 nm,"26,280 million",TSMC
AMD EPYC 9174F,"Nov 10th, 2022",AMD,Genoa,EPYC,4.1 GHz,320.0,16.0,973.0,io_die_size (397 mm²) + die_size (8x 72 mm²),https://www.techpowerup.com/cpu-specs/epyc-9174f.c2918,5.0,8x 72 mm²,397 mm²,6 nm,"52,560 million",TSMC
AMD EPYC 9224,"Nov 10th, 2022",AMD,Genoa,EPYC,2.5 GHz,200.0,24.0,685.0,io_die_size (397 mm²) + die_size (4x 72 mm²),https://www.techpowerup.com/cpu-specs/epyc-9224.c2919,5.0,4x 72 mm²,397 mm²,6 nm,"26,280 million",TSMC
