name,source,code_name,frequency,tdp,cores,total_die_size,total_die_size_source,manufacturer
AMD Athlon 64 3000+,https://www.techpowerup.com/cpu-specs/athlon-64-3000.c47,Venice,1800 MHz,67,1,83.0,io_die_size () + die_size (83 mm²),AMD
AMD Athlon 64 3000+,https://www.techpowerup.com/cpu-specs/athlon-64-3000.c539,Clawhammer,2000 MHz,89,1,193.0,io_die_size () + die_size (193 mm²),AMD
AMD Athlon 64 3100+,https://www.techpowerup.com/cpu-specs/athlon-64-3100.c2152,Lima,2000 MHz,25,1,77.0,io_die_size () + die_size (77 mm²),AMD
AMD Athlon 64 3200+,https://www.techpowerup.com/cpu-specs/athlon-64-3200.c46,NewCastle,2000 MHz,89,1,144.0,io_die_size () + die_size (144 mm²),AMD
AMD Athlon 64 3200+,https://www.techpowerup.com/cpu-specs/athlon-64-3200.c549,Manchester,2000 MHz,67,1,156.0,io_die_size () + die_size (156 mm²),AMD
AMD Athlon 64 3200+,https://www.techpowerup.com/cpu-specs/athlon-64-3200.c61,Newark,2000 MHz,83,1,,io_die_size () + die_size (),AMD
AMD Athlon 64 3200+,https://www.techpowerup.com/cpu-specs/athlon-64-3200.c365,Orleans,2000 MHz,62,1,183.0,io_die_size () + die_size (183 mm²),AMD
AMD Athlon 64 3200+,https://www.techpowerup.com/cpu-specs/athlon-64-3200.c582,Lima,2000 MHz,45,1,77.0,io_die_size () + die_size (77 mm²),AMD
AMD Athlon 64 3200+,https://www.techpowerup.com/cpu-specs/athlon-64-3200.c345,Venice,2.2 GHz,59,1,84.0,io_die_size () + die_size (84 mm²),AMD
AMD Athlon 64 3200+,https://www.techpowerup.com/cpu-specs/athlon-64-3200.c53,NewCastle,2.2 GHz,89,1,144.0,io_die_size () + die_size (144 mm²),AMD
AMD Athlon 64 3200+,https://www.techpowerup.com/cpu-specs/athlon-64-3200.c44,Venice,2000 MHz,67,1,83.0,io_die_size () + die_size (83 mm²),AMD
AMD Athlon 64 3200+,https://www.techpowerup.com/cpu-specs/athlon-64-3200.c45,Winchester,2000 MHz,67,1,84.0,io_die_size () + die_size (84 mm²),AMD
AMD Athlon 64 3200+,https://www.techpowerup.com/cpu-specs/athlon-64-3200.c540,Clawhammer,2.2 GHz,89,1,193.0,io_die_size () + die_size (193 mm²),AMD
AMD Athlon 64 3200+,https://www.techpowerup.com/cpu-specs/athlon-64-3200.c52,Clawhammer,2000 MHz,89,1,193.0,io_die_size () + die_size (193 mm²),AMD
AMD Athlon 64 3200+,https://www.techpowerup.com/cpu-specs/athlon-64-3200.c62,Newark,2000 MHz,62,1,,io_die_size () + die_size (),AMD
