id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source
i3en.24xlarge,96,768,60000,0,0,i3en.metal,
i3en.metal,96,768,60000,0,0,i3en.metal,
i4g.large,2,16,468,0,0,i4g.16xlarge,
i4g.xlarge,4,32,937,0,0,i4g.16xlarge,
i4g.2xlarge,8,64,1875,0,0,i4g.16xlarge,
i4g.4xlarge,16,128,3750,0,0,i4g.16xlarge,
i4g.8xlarge,32,256,7500,0,0,i4g.16xlarge,
i4g.16xlarge,64,512,15000,0,0,i4g.16xlarge,
i4i.large,2,16,468,0,0,i4i.metal,
i4i.xlarge,4,32,937,0,0,i4i.metal,
i4i.2xlarge,8,64,1875,0,0,i4i.metal,
i4i.4xlarge,16,128,3750,0,0,i4i.metal,
i4i.8xlarge,32,256,7500,0,0,i4i.metal,
i4i.16xlarge,64,512,15000,0,0,i4i.metal,
i4i.32xlarge,128,1024,30000,0,0,i4i.metal,
i4i.metal,128,1024,30000,0,0,i4i.metal,
im4gn.large,2,8,937,0,0,im4gn.16xlarge,
im4gn.xlarge,4,16,1875,0,0,im4gn.16xlarge,
im4gn.2xlarge,8,32,3750,0,0,im4gn.16xlarge,
im4gn.4xlarge,16,64,7500,0,0,im4gn.16xlarge,
im4gn.8xlarge,32,128,15000,0,0,im4gn.16xlarge,
im4gn.16xlarge,64,256,30000,0,0,im4gn.16xlarge,
inf1.xlarge,4,8,0,0,1,inf1.24xlarge,
inf1.2xlarge,8,16,0,0,1,inf1.24xlarge,
inf1.6xlarge,24,48,0,0,4,inf1.24xlarge,
inf1.24xlarge,96,192,0,0,16,inf1.24xlarge,
inf2.xlarge,4,16,0,0,1,inf2.48xlarge,
inf2.8xlarge,32,128,0,0,1,inf2.48xlarge,
inf2.24xlarge,96,384,0,0,6,inf2.48xlarge,
inf2.48xlarge,192,768,0,0,12,inf2.48xlarge,
is4gen.medium,1,6,937,0,0,is4gen.metal,
is4gen.large,2,12,1875,0,0,is4gen.metal,
is4gen.xlarge,4,24,3750,0,0,is4gen.metal,
is4gen.2xlarge,8,48,7500,0,0,is4gen.metal,
is4gen.4xlarge,16,96,15000,0,0,is4gen.metal,
is4gen.8xlarge,32,192,30000,0,0,is4gen.metal,
db.m1.medium,1,3.75,0,0,0,platform_aws_m1,https://aws.amazon.com/ec2/previous-generation/
m1.medium,1,3.75,410,0,0,platform_aws_m1,https://aws.amazon.com/ec2/previous-generation/
db.m1.small,1,1.7,0,0,0,platform_aws_m1,https://aws.amazon.com/ec2/previous-generation/
m1.small,1,1.7,160,0,0,platform_aws_m1,https://aws.amazon.com/ec2/previous-generation/
db.m1.large,2,7.5,0,0,0,platform_aws_m1,https://aws.amazon.com/ec2/previous-generation/
m1.large,2,7.5,840,0,0,platform_aws_m1,https://aws.amazon.com/ec2/previous-generation/
db.m1.xlarge,4,15,0,0,0,platform_aws_m1,https://aws.amazon.com/ec2/previous-generation/
m1.xlarge,4,15,1680,0,0,platform_aws_m1,https://aws.amazon.com/ec2/previous-generation/
db.m2.xlarge,2,17,0,0,0,platform_aws_m2,
m2.xlarge,2,17,420,0,0,platform_aws_m2,
db.m2.2xlarge,4,34,0,0,0,platform_aws_m2,
m2.2xlarge,4,34,850,0,0,platform_aws_m2,
db.m2.4xlarge,8,68,0,0,0,platform_aws_m2,
m2.4xlarge,8,68,1680,0,0,platform_aws_m2,
cache.m3.medium,1,3.72,4,0,0,platform_aws_m3,
db.m3.medium,1,3.73,0,0,0,platform_aws_m3,
m3.medium,1,3.74,4,0,0,platform_aws_m3,
m3.medium.elasticsearch,1,3.75,4,0,0,platform_aws_m3,
db.m3.large,2,7.5,0,0,0,platform_aws_m3,
m3.large,2,7.5,32,0,0,platform_aws_m3,
m3.large.elasticsearch,2,7.5,32,0,0,platform_aws_m3,
db.m3.xlarge,4,15,0,0,0,platform_aws_m3,
m3.xlarge,4,15,80,0,0,platform_aws_m3,
m3.xlarge.elasticsearch,4,15,80,0,0,platform_aws_m3,
db.m3.2xlarge,8,30,0,0,0,platform_aws_m3,
m3.2xlarge,8,30,160,0,0,platform_aws_m3,
m3.2xlarge.elasticsearch,8,30,160,0,0,platform_aws_m3,
cache.m4.large,2,6,0,0,0,platform_aws_m4-a,
db.m4.large,2,8,0,0,0,platform_aws_m4-a,
m4.large,2,8,0,0,0,platform_aws_m4-a,
m4.large.elasticsearch,2,8,0,0,0,platform_aws_m4-a,
cache.m4.xlarge,4,14,0,0,0,platform_aws_m4-a,
db.m4.xlarge,4,16,0,0,0,platform_aws_m4-a,
m4.xlarge,4,16,0,0,0,platform_aws_m4-a,
m4.xlarge.elasticsearch,4,16,0,0,0,platform_aws_m4-a,
cache.m4.2xlarge,8,30,0,0,0,platform_aws_m4-a,
db.m4.2xlarge,8,32,0,0,0,platform_aws_m4-a,
m4.2xlarge,8,32,0,0,0,platform_aws_m4-a,
m4.2xlarge.elasticsearch,8,32,0,0,0,platform_aws_m4-a,
cache.m4.4xlarge,16,61,0,0,0,platform_aws_m4-a,
db.m4.4xlarge,16,64,0,0,0,platform_aws_m4-a,
m4.4xlarge,16,64,0,0,0,platform_aws_m4-a,
m4.4xlarge.elasticsearch,16,64,0,0,0,platform_aws_m4-a,
cache.m4.10xlarge,40,155,0,0,0,platform_aws_m4-b,
db.m4.10xlarge,40,160,0,0,0,platform_aws_m4-b,
m4.10xlarge,40,160,0,0,0,platform_aws_m4-b,
m4.10xlarge.elasticsearch,40,160,0,0,0,platform_aws_m4-b,
db.m4.16xlarge,64,256,0,0,0,platform_aws_m4-a,
m4.16xlarge,64,256,0,0,0,platform_aws_m4-a,
m5.large,2,8,0,0,0,m5.metal,
cache.m5.large,2,6,0,0,0,platform_aws_m5-b,
db.m5.large,2,8,0,0,0,platform_aws_m5-b,
m5.large.elasticsearch,2,8,0,0,0,platform_aws_m5-b,
m5.xlarge,4,16,0,0,0,m5.metal,
cache.m5.xlarge,4,13,0,0,0,platform_aws_m5-b,
db.m5.xlarge,4,16,0,0,0,platform_aws_m5-b,
m5.xlarge.elasticsearch,4,16,0,0,0,platform_aws_m5-b,
m5.2xlarge,8,32,0,0,0,m5.metal,
cache.m5.2xlarge,8,26,0,0,0,platform_aws_m5-b,
db.m5.2xlarge,8,32,0,0,0,platform_aws_m5-b,
m5.2xlarge.elasticsearch,8,32,0,0,0,platform_aws_m5-b,
m5.4xlarge,16,64,0,0,0,m5.metal,
cache.m5.4xlarge,16,52,0,0,0,platform_aws_m5-b,
db.m5.4xlarge,16,64,0,0,0,platform_aws_m5-b,
m5.4xlarge.elasticsearch,16,64,0,0,0,platform_aws_m5-b,
db.m5.8xlarge,32,128,0,0,0,platform_aws_m5-b,
m5.8xlarge,32,128,0,0,0,platform_aws_m5-b,
m5.12xlarge,48,192,0,0,0,m5.metal,
cache.m5.12xlarge,48,157,0,0,0,platform_aws_m5-b,
db.m5.12xlarge,48,192,0,0,0,platform_aws_m5-b,
m5.12xlarge.elasticsearch,48,192,0,0,0,platform_aws_m5-b,
m5.16xlarge,64,256,0,0,0,m5.metal,
db.m5.16xlarge,64,256,0,0,0,platform_aws_m5-b,
m5.24xlarge,96,384,0,0,0,m5.metal,
cache.m5.24xlarge,96,314,0,0,0,platform_aws_m5-b,
db.m5.24xlarge,96,384,0,0,0,platform_aws_m5-b,
m5.metal,96,384,0,0,0,m5.metal,
m5a.large,2,8,0,0,0,m5a.24xlarge,
m5a.xlarge,4,16,0,0,0,m5a.24xlarge,
m5a.2xlarge,8,32,0,0,0,m5a.24xlarge,
m5a.4xlarge,16,64,0,0,0,m5a.24xlarge,
m5a.8xlarge,32,128,0,0,0,m5a.24xlarge,
m5a.12xlarge,48,192,0,0,0,m5a.24xlarge,
m5a.16xlarge,64,256,0,0,0,m5a.24xlarge,
m5a.24xlarge,96,384,0,0,0,m5a.24xlarge,
m5ad.large,2,8,75,0,0,m5ad.24xlarge,
m5ad.xlarge,4,16,150,0,0,m5ad.24xlarge,
m5ad.2xlarge,8,32,300,0,0,m5ad.24xlarge,
m5ad.4xlarge,16,64,600,0,0,m5ad.24xlarge,
m5ad.8xlarge,32,128,1200,0,0,m5ad.24xlarge,
m5ad.12xlarge,48,192,1800,0,0,m5ad.24xlarge,
m5ad.16xlarge,64,256,2400,0,0,m5ad.24xlarge,
m5ad.24xlarge,96,384,3600,0,0,m5ad.24xlarge,
m5d.large,2,8,75,0,0,m5d.metal,
m5d.xlarge,4,16,150,0,0,m5d.metal,
