id,manufacturer,CASE.case_type,year,CPU.units,CPU.core_units,CPU.name,CPU.manufacturer,CPU.model_range,CPU.family,CPU.tdp,CPU.manufacture_date,RAM.capacity,RAM.units,SSD.units,SSD.capacity,HDD.units,HDD.capacity,POWER_SUPPLY.units,GPU.memory,GPU.memory,GPU.units,POWER_SUPPLY.units,POWER_SUPPLY.unit_weight,USAGE.instance_per_server,USAGE.time_workload,USAGE.use_time,USAGE.years_life_time,USAGE.other_consumption_ratio,USAGE.overcommited,Warnings
c6g.4xlarge.elasticsearch,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,32,4,0,0,,0,2,,,,2;2;2,2.99;1;5,4,50;0;100,8760,35040,0.33;0.2;0.82,0,configuration.ram.capacity not verified
c6g.8xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.83,0,
c6g.8xlarge.elasticsearch,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,32,4,0,0,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.84,0,configuration.ram.capacity not verified
c6g.large,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,32,50;0;100,8760,35040,0.33;0.2;0.85,0,
c6g.large.elasticsearch,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,32,4,0,0,,0,2,,,,2;2;2,2.99;1;5,32,50;0;100,8760,35040,0.33;0.2;0.86,0,configuration.ram.capacity not verified
c6g.medium,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,64,50;0;100,8760,35040,0.33;0.2;0.87,0,
c6g.metal,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.88,0,
c6g.xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,16,50;0;100,8760,35040,0.33;0.2;0.89,0,
c6g.xlarge.elasticsearch,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,32,4,0,0,,0,2,,,,2;2;2,2.99;1;5,16,50;0;100,8760,35040,0.33;0.2;0.90,0,configuration.ram.capacity not verified
c6gd.12xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,2,1435,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.91,0,;usage.instance_per_server is rounded
c6gd.16xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,2,1900,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.92,0,
c6gd.2xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,1,474,,0,2,,,,2;2;2,2.99;1;5,8,50;0;100,8760,35040,0.33;0.2;0.93,0,
c6gd.4xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,1,950,,0,2,,,,2;2;2,2.99;1;5,4,50;0;100,8760,35040,0.33;0.2;0.94,0,
c6gd.8xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,1,1900,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.95,0,
c6gd.large,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,1,118,,0,2,,,,2;2;2,2.99;1;5,32,50;0;100,8760,35040,0.33;0.2;0.96,0,
c6gd.medium,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,1,59,,0,2,,,,2;2;2,2.99;1;5,64,50;0;100,8760,35040,0.33;0.2;0.97,0,
c6gd.metal,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,2,1900,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.98,0,
c6gd.xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,1,232,,0,2,,,,2;2;2,2.99;1;5,16,50;0;100,8760,35040,0.33;0.2;0.99,0,
c6gn.12xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.100,0,;usage.instance_per_server is rounded
c6gn.16xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.101,0,
c6gn.2xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,8,50;0;100,8760,35040,0.33;0.2;0.102,0,
c6gn.4xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,4,50;0;100,8760,35040,0.33;0.2;0.103,0,
c6gn.8xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.104,0,
c6gn.large,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,32,50;0;100,8760,35040,0.33;0.2;0.105,0,
c6gn.medium,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,64,50;0;100,8760,35040,0.33;0.2;0.106,0,
c6gn.xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,16,50;0;100,8760,35040,0.33;0.2;0.107,0,
cache.m3.medium,AWS,rack,2014,2,8,Xeon E5-2670,intel,xeon e5,sandybridge,115,2014,32,12,1,4,,0,2,,,,2;2;2,2.99;1;5,32,50;0;100,8760,35040,0.33;0.2;0.108,0,configuration.ram.capacity not verified
cache.m4.10xlarge,AWS,rack,2015,2,12,Xeon E5-2676 v3,intel,xeon e5,haswell,120,2015,32,8,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.109,0,configuration.ram.capacity not verified;usage.instance_per_server is rounded
cache.m4.2xlarge,AWS,rack,2015,2,18,Xeon E5-2686 v4,intel,xeon e5,broadwell,145,2015,32,8,0,0,,0,2,,,,2;2;2,2.99;1;5,9,50;0;100,8760,35040,0.33;0.2;0.110,0,configuration.ram.capacity not verified
