Name,API Name,Instance Memory,vCPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
F64ams v7,F64ams v7,512 GiB,64,0 GiB,€5.9351 hourly,€4.0359 hourly,€3.6797 hourly,€1.0968 hourly,€8.4583 hourly,€6.5591 hourly,€6.2029 hourly,€1.6917 hourly
F64as v6,F64as v6,256 GiB,64,0 GiB,€4.5304 hourly,€3.2166 hourly,€2.809 hourly,€0.9228 hourly,€7.0536 hourly,€5.7398 hourly,€5.3322 hourly,€1.4368 hourly
F64as v7,F64as v7,256 GiB,64,0 GiB,€4.5304 hourly,€3.2166 hourly,€2.809 hourly,€0.8372 hourly,€7.0536 hourly,€5.7398 hourly,€5.3322 hourly,€1.4107 hourly
F64s v2,F64s v2,128 GiB,64,512 GiB,€2.6603 hourly,€1.9705 hourly,€1.5758 hourly,€0.5589 hourly,€5.0755 hourly,€4.4937 hourly,€4.099 hourly,€1.0664 hourly
F72s v2,F72s v2,144 GiB,72,576 GiB,€2.9928 hourly,€2.2168 hourly,€1.7727 hourly,€0.6288 hourly,€5.7097 hourly,€5.0554 hourly,€4.6113 hourly,€1.1996 hourly
F8,F8,16 GiB,8,128 GiB,€0.9033 hourly,€0.6143 hourly,€0.5603 hourly,€0.1669 hourly,€1.2187 hourly,€0.9297 hourly,€0.8757 hourly,€0.2437 hourly
F80ads v7,F80ads v7,320 GiB,80,8800 GiB,€7.1102 hourly,€5.0482 hourly,€4.4085 hourly,€1.314 hourly,€10.2641 hourly,€8.2022 hourly,€7.5624 hourly,€2.0528 hourly
F80alds v7,F80alds v7,160 GiB,80,8800 GiB,€5.9274 hourly,€4.2085 hourly,€3.6749 hourly,€1.0954 hourly,€9.0814 hourly,€7.3624 hourly,€6.8289 hourly,€1.8163 hourly
F80als v7,F80als v7,160 GiB,80,0 GiB,€5.0121 hourly,€3.5586 hourly,€3.1075 hourly,€0.9262 hourly,€8.1661 hourly,€6.7126 hourly,€6.2615 hourly,€1.6332 hourly
F80amds v7,F80amds v7,640 GiB,80,8000 GiB,€9.0368 hourly,€6.145 hourly,€5.6028 hourly,€1.67 hourly,€12.1908 hourly,€9.299 hourly,€8.7568 hourly,€2.4382 hourly
F80ams v7,F80ams v7,640 GiB,80,0 GiB,€7.4187 hourly,€5.0447 hourly,€4.5995 hourly,€1.371 hourly,€10.5727 hourly,€8.1987 hourly,€7.7535 hourly,€2.1145 hourly
