Name,API Name,Instance Family,CoreMark Score,FFmpeg FPS,Instance Memory,Compute Units (ECU),vCPUs,Instance Storage,Network Performance,Max IPs,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
R5AD 12xlarge Extra Large,r5ad.12xlarge,r5ad,"17.104,738",114.0 fps,384 GiB,0 units,48 vCPUs,1800 GB (2×900 GB NVMe SSD),10 Gigabit,240,€3.25 hourly,€2.0475 hourly,€1.1119 hourly,€5.1424 hourly,€3.9399 hourly
R5AD Quadruple Extra Large,r5ad.4xlarge,r5ad,"17.542,321",67.0 fps,128 GiB,0 units,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,240,€1.0833 hourly,€0.6822 hourly,€0.4945 hourly,€1.7141 hourly,€1.313 hourly
R5AD Eight Extra Large,r5ad.8xlarge,r5ad,"16.845,415",101.0 fps,256 GiB,0 units,32 vCPUs,1200 GB (2×600 GB NVMe SSD),Up to 10 Gigabit,240,€2.1666 hourly,€1.3653 hourly,€0.781 hourly,€3.4282 hourly,€2.6269 hourly
R5B 12xlarge Extra Large,r5b.12xlarge,r5b,N/A,N/A,384 GiB,0 units,48 vCPUs,EBS only,12 Gigabit,240,€3.6614 hourly,€2.3067 hourly,€1.3232 hourly,€5.5537 hourly,€4.199 hourly
R5B Quadruple Extra Large,r5b.4xlarge,r5b,N/A,N/A,128 GiB,0 units,16 vCPUs,EBS only,Up to 10 Gigabit,240,€1.2205 hourly,€0.7689 hourly,€0.5174 hourly,€1.8512 hourly,€1.3997 hourly
R5B Eight Extra Large,r5b.8xlarge,r5b,N/A,N/A,256 GiB,0 units,32 vCPUs,EBS only,10 Gigabit,240,€2.4409 hourly,€1.5378 hourly,€0.7958 hourly,€3.7025 hourly,€2.7994 hourly
R5D 12xlarge Extra Large,r5d.12xlarge,r5d,"24.102,193",158.0 fps,384 GiB,168 units,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,240,€3.5585 hourly,€2.2421 hourly,€1.2938 hourly,€5.4509 hourly,€4.1345 hourly
R5D Quadruple Extra Large,r5d.4xlarge,r5d,"20.865,211",89.0 fps,128 GiB,70 units,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,240,€1.1862 hourly,€0.7474 hourly,€0.5948 hourly,€1.817 hourly,€1.3782 hourly
R5D Eight Extra Large,r5d.8xlarge,r5d,"22.273,368",133.0 fps,256 GiB,128 units,32 vCPUs,1200 GB (2×600 GB NVMe SSD),10 Gigabit,240,€2.3723 hourly,€1.4947 hourly,€0.9758 hourly,€3.6339 hourly,€2.7563 hourly
R5DN 12xlarge Extra Large,r5dn.12xlarge,r5dn,N/A,N/A,384 GiB,0 units,48 vCPUs,1800 GB (2×900 GB NVMe SSD),50 Gigabit,240,€4.0933 hourly,€2.5789 hourly,€1.4738 hourly,€5.9857 hourly,€4.4713 hourly
